Category,Brand,Ordered_total,Orders_total_dynamics,Products_ordered,Average_price,Average_price_dynamics,Number_of_sellers,Number_of_clusters,Redeemed_orders_share,Share_in_category
18+_Confectionery_Products,Chocolovers,2945518,4.27,5246,561,0.74,1,26,0.902,0.171
18+_Confectionery_Products,Фабрика страсти,2830515,5.55,11166,253,0.03,6,27,0.933,0.1639999999999999
18+_Confectionery_Products,DaroLand,1502644,0.07,2814,534,0.2,1,25,0.91,0.087
18+_Confectionery_Products,ДА Шоколад,1485161,0.17,1977,751,0.22,2,24,0.931,0.086
18+_Confectionery_Products,Волшебные сказки,1212078,0.43,1873,647,0.3,1,26,0.94,0.07
18+_Confectionery_Products,Суровый русский шоколад,851121,0.28,1107,769,0.53,1,25,0.937,0.049
18+_Confectionery_Products,Choco Corp,766618,0.0,475,1614,0.0,1,21,0.922,0.044
18+_Confectionery_Products,Бренд отсутствует,734481,-0.14,1583,464,0.14,46,26,0.88,0.043
18+_Confectionery_Products,DA CHOCOLATE,651594,1.01,662,984,0.37,2,20,0.915,0.038
18+_Confectionery_Products,ШокоПольза,490996,2.7,1078,455,0.07,1,24,0.916,0.0279999999999999
18+_Confectionery_Products,CandyMood,448128,0.0,732,612,0.0,1,22,0.915,0.026
18+_Confectionery_Products,Казанова 69,416776,42.15,715,583,1.41,1,24,0.904,0.024
18+_Confectionery_Products,Crystals,402015,1.43,1891,213,-0.22,1,23,0.877,0.023
18+_Confectionery_Products,CHOCO STORY,383857,0.42,681,564,0.0,1,23,0.8859999999999999,0.022
18+_Confectionery_Products,Choc-Choc,257884,2.16,330,781,0.26,1,23,0.933,0.015
18+_Confectionery_Products,HOT FLOWERS,204286,15.36,187,1092,0.14,3,19,0.904,0.012
18+_Confectionery_Products,КРЕАТИВНЫЕ ПОДАРКИ,200664,12.33,392,512,-0.01,1,25,0.952,0.012
18+_Confectionery_Products,KobiArti,183415,0.0,113,1623,0.0,1,15,0.858,0.011
18+_Confectionery_Products,Лаборатория Счастья,157835,-0.73,468,337,0.12,1,24,0.938,0.009
18+_Confectionery_Products,Чайбокс,131463,-0.41,266,494,-0.25,1,23,0.91,0.008
18+_Confectionery_Products,Эролайф,121370,4.55,231,525,-0.02,3,22,0.836,0.0069999999999999
18+_Confectionery_Products,Prod.Art,120588,4.52,287,420,0.17,1,11,0.941,0.0069999999999999
18+_Confectionery_Products,Chokocat,115222,-0.51,213,541,0.04,1,23,0.925,0.0069999999999999
18+_Confectionery_Products,CHOCO SFERA,99937,0.0,166,602,0.0,1,18,0.88,0.006
18+_Confectionery_Products,Delicert,81896,-0.68,143,573,0.01,1,20,0.916,0.005
18+_Confectionery_Products,Lenco,46703,-0.34,130,359,0.07,3,18,0.923,0.003
18+_Confectionery_Products,Шоко.ru,38320,0.0,73,525,0.0,1,15,0.986,0.002
18+_Confectionery_Products,Sweet Bomb,31561,0.0,80,395,0.0,1,16,0.85,0.002
18+_Confectionery_Products,АйМикс,26324,6.17,40,658,0.08,6,14,0.925,0.002
18+_Confectionery_Products,ArtCaramel,26053,0.0,73,357,0.0,1,16,0.877,0.002
18+_Confectionery_Products,YESforLOV,24527,0.0,41,598,0.0,1,11,0.805,0.001
18+_Confectionery_Products,Rubiscookies,23296,-0.39,61,382,0.34,1,13,0.967,0.001
18+_Confectionery_Products,Diblong,20005,-0.57,47,426,-0.43,2,11,0.894,0.001
18+_Confectionery_Products,Романтик,15776,0.0,16,986,0.0,1,7,0.875,0.001
18+_Confectionery_Products,DREAMBOX,14560,0.0,36,404,0.0,1,10,0.944,0.001
18+_Confectionery_Products,SHOKOLIFE,13198,37.59,45,293,-0.14,1,13,0.867,0.001
18+_Confectionery_Products,IMPIRANTE,12475,0.0,29,430,0.0,1,9,0.828,0.001
18+_Confectionery_Products,COOTASKS,12333,-0.73,25,493,-0.12,1,8,0.88,0.001
18+_Confectionery_Products,ФИЛОСОФИЯ ШОКОЛАДА,10805,0.0,11,982,0.0,1,7,0.909,0.001
18+_Confectionery_Products,Вкусная помощь,10426,0.06,21,496,0.57,1,8,0.952,0.001
18+_Confectionery_Products,Sosuчki,10107,-0.1,17,595,-0.26,4,6,0.8240000000000001,0.001
18+_Confectionery_Products,Frade,10046,0.01,20,502,-0.49,1,8,0.85,0.001
18+_Confectionery_Products,Lollisland,9853,-0.59,20,493,0.22,1,9,0.75,0.001
18+_Confectionery_Products,Уральский леденец,9475,-0.62,18,526,0.93,2,10,0.944,0.001
18+_Confectionery_Products,ШОКОЛАДЪ ИЗ ПИТЕРА,7608,-0.3,12,634,0.05,1,7,0.917,0.0
18+_Confectionery_Products,У Фимы,7204,0.0,7,1029,0.0,1,3,1.0,0.0
18+_Confectionery_Products,Secret play,6859,0.0,18,381,0.0,1,8,0.944,0.0
18+_Confectionery_Products,Chocolate mood,6433,-0.59,10,643,-0.01,1,4,1.0,0.0
18+_Confectionery_Products,Мастерская подарков Колбасовой Катерины,5301,0.0,2,2651,0.0,1,2,1.0,0.0
18+_Confectionery_Products,Русконфета,5144,-0.01,8,643,0.24,1,3,0.875,0.0
18+_Confectionery_Products,Фабрика счастья,4921,-0.9,20,246,0.12,1,11,1.0,0.0
18+_Confectionery_Products,Старые времена,3995,0.0,5,799,0.0,1,4,0.8,0.0
18+_Confectionery_Products,Сибирский лес,3126,-0.71,19,165,-0.75,1,8,1.0,0.0
18+_Confectionery_Products,Рот Фронт,2812,0.0,9,312,0.0,1,7,0.778,0.0
18+_Confectionery_Products,Страна Леденцов,2691,-0.93,9,299,-0.13,1,7,1.0,0.0
18+_Confectionery_Products,Dekor.torta,2625,-0.89,5,525,0.12,1,5,1.0,0.0
18+_Confectionery_Products,Mixelite,2556,0.0,3,852,0.0,1,3,0.667,0.0
18+_Confectionery_Products,AzziMed,2202,-0.62,3,734,0.0,1,3,1.0,0.0
18+_Confectionery_Products,Praline лавка сладостей,2000,-0.64,2,1000,0.44,1,2,1.0,0.0
18+_Confectionery_Products,Candy Girl,1990,-0.61,2,995,2.09,1,2,1.0,0.0
18+_Confectionery_Products,Звездный сюрприз,1930,0.96,8,241,-0.76,1,2,0.625,0.0
18+_Confectionery_Products,Aria,1865,0.0,4,466,0.0,1,4,0.25,0.0
18+_Confectionery_Products,48 hours gold,1709,0.0,1,1709,0.0,1,1,1.0,0.0
18+_Confectionery_Products,НетНеСлипнется,918,0.0,1,918,0.0,1,1,1.0,0.0
18+_Confectionery_Products,D,870,0.0,1,870,0.0,1,1,1.0,0.0
18+_Confectionery_Products,Miss I Love you,770,-0.16,1,770,-0.16,1,1,1.0,0.0
18+_Confectionery_Products,ТОЧКА ЛЮБВИ,672,0.0,2,336,0.0,2,2,1.0,0.0
18+_Confectionery_Products,LenziMystery,610,-0.76,1,610,-0.05,1,1,1.0,0.0
18+_Confectionery_Products,Huanggang Lazhi,363,-0.68,1,363,0.3,1,1,1.0,0.0
"Accessories,_╨бomponents_for_Household_Lighting",Бренд отсутствует,66353122,0.0,74942,885,0.0,1733,22,0.882,0.265
"Accessories,_╨бomponents_for_Household_Lighting",Ecola,11809559,0.0,18269,646,0.0,42,22,0.908,0.047
"Accessories,_╨бomponents_for_Household_Lighting",Litewell,11230911,0.0,5640,1991,0.0,3,17,0.918,0.045
"Accessories,_╨бomponents_for_Household_Lighting",Feron,9304746,0.0,11129,836,0.0,45,19,0.898,0.037
"Accessories,_╨бomponents_for_Household_Lighting",Arlight,8116531,0.0,2354,3448,0.0,40,20,0.904,0.032
"Accessories,_╨бomponents_for_Household_Lighting",Eleganz,7816439,0.0,10474,746,0.0,13,19,0.9,0.031
"Accessories,_╨бomponents_for_Household_Lighting",TopDecor,4848971,0.0,12164,399,0.0,2,20,0.88,0.019
"Accessories,_╨бomponents_for_Household_Lighting",DLED,4013377,0.0,8610,466,0.0,12,23,0.906,0.016
"Accessories,_╨бomponents_for_Household_Lighting",MEAN WELL,3835795,0.0,1563,2454,0.0,24,19,0.914,0.015
"Accessories,_╨бomponents_for_Household_Lighting",Hongwei,3315805,0.0,1004,3303,0.0,3,18,0.895,0.013
"Accessories,_╨бomponents_for_Household_Lighting",ПрофиБаня,3272022,0.0,1693,1933,0.0,1,18,0.938,0.013
"Accessories,_╨бomponents_for_Household_Lighting",General Lighting Systems,2626727,0.0,3020,870,0.0,38,18,0.899,0.01
"Accessories,_╨бomponents_for_Household_Lighting",MEGALIGHT RUS,2468530,0.0,2262,1091,0.0,2,19,0.852,0.01
"Accessories,_╨бomponents_for_Household_Lighting",PRIME LED,2442731,0.0,1257,1943,0.0,1,18,0.918,0.01
"Accessories,_╨бomponents_for_Household_Lighting",IKEA,2393657,0.0,1108,2160,0.0,45,20,0.833,0.01
"Accessories,_╨бomponents_for_Household_Lighting",Lederia,2385462,0.0,3340,714,0.0,1,18,0.911,0.01
"Accessories,_╨бomponents_for_Household_Lighting",ЭРА,2236780,0.0,3622,618,0.0,34,19,0.871,0.009
"Accessories,_╨бomponents_for_Household_Lighting",Piton Power,2191430,0.0,1266,1731,0.0,3,18,0.903,0.009
"Accessories,_╨бomponents_for_Household_Lighting",OGNImo,2149889,0.0,933,2304,0.0,1,17,0.906,0.009
"Accessories,_╨бomponents_for_Household_Lighting",Whole-Market,1999141,0.0,2280,877,0.0,1,18,0.799,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Vitaluce,1991773,0.0,3542,562,0.0,4,19,0.706,0.008
"Accessories,_╨бomponents_for_Household_Lighting",LEDLINE,1967883,0.0,2170,907,0.0,1,18,0.925,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Lumissimo,1928720,0.0,2993,644,0.0,1,18,0.89,0.008
"Accessories,_╨бomponents_for_Household_Lighting",VeroMaks,1912662,0.0,1596,1198,0.0,2,20,0.915,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Mobicent,1871028,0.0,939,1993,0.0,6,19,0.852,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",ААБ,1861925,0.0,1206,1544,0.0,1,19,0.898,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",geniled,1829980,0.0,2471,741,0.0,2,19,0.898,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",Smart street,1640707,0.0,1350,1215,0.0,2,17,0.907,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",Apeyron,1565485,0.0,2500,626,0.0,14,20,0.85,0.006
"Accessories,_╨бomponents_for_Household_Lighting",21 век свет,1545634,0.0,1555,994,0.0,4,20,0.79,0.006
"Accessories,_╨бomponents_for_Household_Lighting",Пермский свет,1510748,0.0,603,2505,0.0,2,18,0.8109999999999999,0.006
"Accessories,_╨бomponents_for_Household_Lighting",SeaStar,1506450,0.0,985,1529,0.0,2,19,0.929,0.006
"Accessories,_╨бomponents_for_Household_Lighting",REDIGLE,1397956,0.0,1004,1392,0.0,8,18,0.913,0.006
"Accessories,_╨бomponents_for_Household_Lighting",Аргос,1347745,0.0,762,1769,0.0,6,17,0.932,0.005
"Accessories,_╨бomponents_for_Household_Lighting",SWG,1340038,0.0,536,2500,0.0,19,16,0.843,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Hill & Mill,1338704,0.0,1069,1252,0.0,4,18,0.79,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Uniel,1318765,0.0,1728,763,0.0,13,21,0.89,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Luminor,1290212,0.0,2089,618,0.0,2,18,0.9,0.005
"Accessories,_╨бomponents_for_Household_Lighting",AV store,1267910,0.0,619,2048,0.0,1,17,0.8690000000000001,0.005
"Accessories,_╨бomponents_for_Household_Lighting",TDM Electric,1252714,0.0,1463,856,0.0,20,18,0.846,0.005
"Accessories,_╨бomponents_for_Household_Lighting",LEDS POWER,1183120,0.0,417,2837,0.0,7,18,0.883,0.005
"Accessories,_╨бomponents_for_Household_Lighting",LEADER POWER,1099753,0.0,510,2156,0.0,1,17,0.943,0.004
"Accessories,_╨бomponents_for_Household_Lighting",DIGSLED,1070863,0.0,1169,916,0.0,2,20,0.932,0.004
"Accessories,_╨бomponents_for_Household_Lighting",SmartBuy,1069809,0.0,1646,650,0.0,5,19,0.917,0.004
"Accessories,_╨бomponents_for_Household_Lighting",СИМВОЛ СВЕТА,1031776,0.0,902,1144,0.0,3,18,0.809,0.004
"Accessories,_╨бomponents_for_Household_Lighting",РосЛедс,1018276,0.0,877,1161,0.0,1,18,0.878,0.004
"Accessories,_╨бomponents_for_Household_Lighting",Delta-Svet,993525,0.0,1710,581,0.0,2,18,0.938,0.004
"Accessories,_╨бomponents_for_Household_Lighting",DONE,986470,0.0,1324,745,0.0,2,18,0.846,0.004
